name,year,country,genre,director,rating
Проект X: Дорвались,2012,США,комедия,Нима Нуризаде,7.0
Славные парни,2016,"США, Великобритания","криминал, комедия, боевик",Шейн Блэк,7.2
Последняя дуэль,2021,"Великобритания, США","история, драма",Ридли Скотт,7.4
Зодиак,2007,США,"триллер, детектив, драма, криминал",Дэвид Финчер,7.3
Человек на Луне,2018,"США, Япония","драма, биография, история",Дэмьен Шазелл,7.1
Во всё тяжкое,2018,США,"драма, комедия",Уэйн Робертс,7.0
Мажор. Фильм,2021,Россия,"боевик, комедия","Максим Полинский, Николай Булыгин",6.5
Один день,2011,"США, Великобритания","драма, мелодрама",Лоне Шерфиг,7.8
Первобытный страх,1996,США,"триллер, драма, криминал, детектив",Грегори Хоблит,7.8
Выживший,2015,"США, Гонконг, Тайвань","приключения, вестерн, боевик, драма, биография",Алехандро Гонсалес Иньярриту,7.8
Шан-Чи и легенда десяти колец,2021,США,"фэнтези, боевик, комедия, приключения, фантастика",Дестин Дэниел Креттон,7.3
Вестсайдская история,2021,США,"мюзикл, драма, мелодрама, криминал",Стивен Спилберг,7.0
Дневник памяти,2004,США,"драма, мелодрама",Ник Кассаветис,8.2
Евротур,2004,США,комедия,"Джефф Шаффер, Алек Берг, Дэвид Мэндел",7.6
Большой красный пес Клиффорд,2021,"США, Канада","фэнтези, комедия, приключения, семейный",Уолт Бекер,6.5
Красные огни,2011,"Испания, Канада","фэнтези, драма, детектив",Родриго Кортес,6.9
Тело,2012,Испания,"триллер, детектив, криминал",Ориол Паоло,7.3
Леон,1994,"Франция, США","боевик, триллер, драма, криминал",Люк Бессон,8.7
Легенда о Зелёном Рыцаре,2020,"Ирландия, Канада, США, Великобритания","фэнтези, приключения, драма",Дэвид Лоури,6.2
Юморист,2018,"Россия, Латвия, Чехия","драма, биография",Михаил Идов,6.6
Зов предков,2020,"США, Канада","драма, приключения, семейный",Крис Сандерс,7.5
Список Шиндлера,1993,США,"драма, биография, история, военный",Стивен Спилберг,8.8
БУМЕРанг,2021,Россия,"комедия, криминал",Пётр Буслов,5.7
Таксист,1976,США,"триллер, драма, криминал",Мартин Скорсезе,7.8
Лобстер,2015,"Ирландия, Великобритания, Греция, Франция, Нидерланды, США","фантастика, триллер, драма, мелодрама, комедия",Йоргос Лантимос,7.0
Том и Джерри,2021,"США, Великобритания, Франция, Германия","комедия, приключения, семейный",Тим Стори,6.8
Аритмия,2017,Россия,"мелодрама, драма",Борис Хлебников,7.7
Форма воды,2017,"США, Мексика","фантастика, драма",Гильермо дель Торо,6.9
Лига справедливости Зака Снайдера,2021,США,"фантастика, боевик, фэнтези",Зак Снайдер,7.9
Лекарство от здоровья,2017,"США, Германия","триллер, фантастика, ужасы, драма, фэнтези, детектив",Гор Вербински,6.4
Непосредственно Каха!,2020,Россия,комедия,Виктор Шамиров,4.3
Kingsman: Золотое кольцо,2017,"Великобритания, США","боевик, триллер, комедия, криминал, приключения",Мэттью Вон,6.9
Секс по дружбе,2011,США,"мелодрама, комедия, драма",Уилл Глак,7.1
Паранормальное явление: Ближайший родич,2021,США,ужасы,Уильям Юбэнк,5.3
Небо,2021,Россия,"военный, драма, боевик, биография",Игорь Копылов,7.2
Скрытые фигуры,2016,США,"драма, биография, история",Тед Мелфи,7.8
Внезапная удача,2022,США,"триллер, драма, криминал",Чарли Макдауэлл,5.8
Морбиус,2022,США,"ужасы, фантастика, боевик, фэнтези",Даниэль Эспиноса,5.3
Впритык,2010,США,комедия,Тодд Филлипс,7.2
Добро пожаловать в Zомбилэнд,2009,США,"ужасы, комедия, боевик",Рубен Фляйшер,7.4
Исходный код,2011,"США, Канада, Франция, Германия","фантастика, боевик, триллер, драма",Дункан Джонс,7.8
Монстры на каникулах: Трансформания,2022,США,"мультфильм, фэнтези, комедия, приключения, семейный","Дерек Драймон, Дженнифер Клуска",6.3
Амели,2001,"Франция, Германия","мелодрама, комедия",Жан-Пьер Жёне,8.0
Лолита,1997,"Франция, США","драма, мелодрама",Эдриан Лайн,7.6
Гадкий я,2010,"США, Франция, Япония","мультфильм, фантастика, комедия, криминал, приключения, семейный","Пьер Коффан, Крис Рено",7.8
Хижина в лесу,2011,США,"ужасы, комедия, фэнтези",Дрю Годдард,6.7
Клаустрофобы 2: Лига выживших,2021,"США, ЮАР","ужасы, боевик",Адам Робител,6.0
"Три билборда на границе Эббинга, Миссури",2017,"Великобритания, США","драма, криминал",Мартин МакДона,8.1
Малыш на драйве,2017,"Великобритания, США","боевик, триллер, драма, криминал, музыка",Эдгар Райт,7.2
О чём говорят мужчины,2010,Россия,комедия,Дмитрий Дьяченко,7.8
Дело храбрых,2017,США,"боевик, драма, биография",Джозеф Косински,8.0
Фантастические твари и где они обитают,2016,"Великобритания, США","фэнтези, приключения, семейный",Дэвид Йейтс,7.6
Топ Ган: Мэверик,2022,"Китай, США","боевик, драма",Джозеф Косински,89%
Борьба со льдом,2022,"Исландия, Дания","биография, драма, история",Петер Флинт,6.6
Железный человек 2,2010,США,"фантастика, боевик, приключения",Джон Фавро,7.5
Великая стена,2016,"США, Китай, Гонконг, Австралия, Канада","фэнтези, боевик, триллер, приключения",Чжан Имоу,6.1
Поездка в Америку 2,2021,США,комедия,Крэйг Брюэр,5.2
Кошачьи миры Луиса Уэйна,2021,Великобритания,"биография, история, драма",Уилл Шарп,7.4
1+1,2011,Франция,"драма, комедия, биография","Оливье Накаш, Эрик Толедано",8.8
Остров проклятых,2009,США,"триллер, детектив, драма",Мартин Скорсезе,8.5
На пятьдесят оттенков темнее,2017,"США, Китай, Япония","драма, мелодрама",Джеймс Фоули,5.2
Залечь на дно в Брюгге,2007,"Великобритания, США","комедия, криминал, триллер, драма",Мартин МакДона,7.8
Бегущий по лезвию,1982,США,"фантастика, триллер, драма, мелодрама",Ридли Скотт,7.7
2001 год: Космическая одиссея,1968,"Великобритания, США","фантастика, приключения",Стэнли Кубрик,7.9
Оно 2,2019,"США, Канада","ужасы, фэнтези, драма",Андрес Мускетти,6.5
Чужой,1979,"Великобритания, США","ужасы, фантастика, триллер",Ридли Скотт,8.1
Гордость и предубеждение и зомби,2015,"США, Великобритания","ужасы, фэнтези, боевик, мелодрама, комедия",Бёрр Стирс,5.8
Человек-паук,2002,США,"фантастика, боевик, приключения",Сэм Рэйми,7.6
Железная хватка,2010,США,"вестерн, драма, приключения","Итан Коэн, Джоэл Коэн",7.6
Тёмная башня,2017,США,"фантастика, фэнтези, боевик, приключения, вестерн",Николай Арсель,5.7
Три богатыря и Конь на троне,2021,Россия,"мультфильм, комедия, приключения","Дарина Шмидт, Константин Феоктистов",7.4
Джанго освобожденный,2012,США,"вестерн, боевик, драма, комедия",Квентин Тарантино,8.2
Тело Дженнифер,2009,"США, Канада","ужасы, комедия",Карин Кусама,5.7
Громкая связь,2018,Россия,комедия,Алексей Нужный,6.8
Тихое место 2,2020,США,"ужасы, фантастика, драма",Джон Красински,6.6
Тренер Картер,2005,"США, Германия","биография, спорт, драма",Томас Картер,8.1
Красавица и дракон,2021,Япония,"аниме, мультфильм, фантастика, драма",Мамору Хосода,7.3
Предложение,2009,США,"мелодрама, комедия, драма",Энн Флетчер,7.6
Пекло,2007,"Великобритания, США","фантастика, триллер",Дэнни Бойл,7.3
Очень страшное кино,2000,США,"комедия, ужасы",Кинен Айвори Уайанс,7.0
Ла-Ла Ленд,2016,"США, Гонконг","мюзикл, драма, мелодрама, комедия, музыка",Дэмьен Шазелл,7.9
Одиннадцать молчаливых мужчин,2021,Россия,"драма, спорт",Алексей Пиманов,6.0
RRR,2022,Индия,"боевик, драма, история",С.С. Раджамули,–
"Кловерфилд, 10",2016,США,"триллер, драма, фантастика",Дэн Трахтенберг,6.9
Властелин колец: Братство Кольца,2001,"Новая Зеландия, США","фэнтези, приключения, драма",Питер Джексон,8.6
Легион,2010,США,"ужасы, фэнтези, боевик",Скотт Чарльз Стюарт,5.5
Донни Дарко,2001,США,"фантастика, триллер, драма, детектив",Ричард Келли,7.6
Морфий,2008,Россия,драма,Алексей Балабанов,7.1
Связь,2012,"США, Великобритания","фантастика, триллер, драма",Джеймс Уорд Биркит,7.0
Дневник баскетболиста,1995,США,"драма, криминал, биография, спорт",Скотт Кэлверт,7.8
Бесславные ублюдки,2009,"Германия, США","боевик, драма, комедия, военный",Квентин Тарантино,7.9
Иван Васильевич меняет профессию,1973,СССР,"комедия, фантастика, приключения",Леонид Гайдай,8.8
Великий,2020,"Великобритания, США, ОАЭ, Япония","драма, биография",Эндрю Левитас,7.5
Крепкий орешек,1988,США,"боевик, триллер, криминал",Джон МакТирнан,8.0
12 обезьян,1995,США,"фантастика, триллер, детектив",Терри Гиллиам,7.8
Того,2019,США,"драма, приключения, семейный, биография, история",Эриксон Кор,8.0
Король Стейтен-Айленда,2020,США,"драма, комедия",Джадд Апатоу,7.2
Миллион способов потерять голову,2014,США,"комедия, вестерн",Сет МакФарлейн,6.2
Вечное сияние чистого разума,2004,США,"мелодрама, фантастика, драма",Мишель Гондри,8.0
Камон Камон,2021,США,драма,Майк Миллс,7.7
Вторжение,2019,Россия,"фантастика, боевик",Фёдор Бондарчук,5.7
Поездка,2021,Норвегия,"триллер, комедия",Томми Виркола,6.7
Дорога перемен,2008,"США, Великобритания","драма, мелодрама",Сэм Мендес,7.5
Шрэк,2001,"США, Япония","мультфильм, фэнтези, комедия, приключения, семейный","Эндрю Адамсон, Вики Дженсон",8.1
Цельнометаллическая оболочка,1987,"Великобритания, США","драма, военный",Стэнли Кубрик,8.0
Тёмное наследие,2020,США,"триллер, драма, детектив",Вон Стайн,6.0
Соври мне правду,2021,Россия,"триллер, драма",Ольга Акатьева,4.9
Дюна 2,2023,"США, Канада","фантастика, боевик, драма, приключения",Дени Вильнёв,99%
Tomb Raider: Лара Крофт,2018,"Великобритания, США","фэнтези, боевик, триллер, приключения",Роар Утхауг,6.2
Вуайеристы,2021,США,"триллер, драма, детектив",Майкл Мохан,6.3
Хоббит: Пустошь Смауга,2013,"Новая Зеландия, США","фэнтези, приключения, боевик",Питер Джексон,8.0
Конёк-Горбунок,2021,Россия,"фэнтези, комедия, приключения",Олег Погодин,6.8
Майор Гром: Чумной Доктор,2021,Россия,"боевик, криминал, детектив, комедия",Олег Трофим,7.2
Заплати другому,2000,США,драма,Мими Ледер,8.1
Стеклоочиститель,2021,"США, Испания","мультфильм, короткометражка, фэнтези, мелодрама",Альберто Мьельго,7.7
Побег из Претории,2020,"Великобритания, Австралия, США, ЮАР, Германия",триллер,Фрэнсис Аннан,6.7
Евангелион 3.0+1.01: Как-то раз,2021,Япония,"аниме, мультфильм, фантастика, боевик, драма","Хидэаки Анно, Махиро Маэда, Кацуити Накаяма, ...",7.7
Всё везде и сразу,2022,США,"фантастика, фэнтези, боевик, комедия, приключения","Дэн Кван, Дэниэл Шайнерт",8.3
Форма голоса,2016,Япония,"аниме, мультфильм, драма, мелодрама",Наоко Ямада,8.2
Платформа,2019,Испания,"фантастика, триллер, драма",Гальдер Гастелу-Уррутия,7.1
Kingsman: Секретная служба,2015,"Великобритания, США","боевик, комедия, криминал, приключения",Мэттью Вон,7.7
Третий лишний,2012,США,комедия,Сет МакФарлейн,6.7
Холоп,2019,Россия,комедия,Клим Шипенко,6.8
Железный человек,2008,"США, Канада","фантастика, боевик, приключения",Джон Фавро,7.9
Первый мститель,2011,США,"фантастика, боевик, приключения, военный",Джо Джонстон,6.7
Сокровище нации,2004,США,"боевик, триллер, детектив, приключения",Джон Тёртлтауб,7.7
Чёрный телефон,2021,США,ужасы,Скотт Дерриксон,–
Однажды в… Голливуде,2019,"США, Великобритания, Китай","драма, комедия",Квентин Тарантино,7.6
Чарли и шоколадная фабрика,2005,США,"мюзикл, фэнтези, комедия, приключения, семейный",Тим Бёртон,7.6
Круиз по джунглям,2021,США,"приключения, комедия, фэнтези",Жауме Кольет-Серра,6.8
Чудо,2017,"США, Гонконг, Канада","драма, семейный",Стивен Чбоски,8.0
ВАЛЛ·И,2008,США,"мультфильм, фантастика, приключения, семейный",Эндрю Стэнтон,8.3
300 спартанцев,2007,"США, Канада, Болгария, Австралия","боевик, драма",Зак Снайдер,7.6
Её заветное желание,2020,Япония,"аниме, мультфильм, мелодрама, драма",Котаро Тамура,8.0
Одаренная,2017,США,драма,Марк Уэбб,7.8
Человек-паук: Через вселенные 2,2022,США,"мультфильм, фантастика, фэнтези, боевик, комедия, приключения, семейный","Жоаким Душ Сантуш, Кемп Пауэрс, Джастин Томпсон",98%
Петля времени,2012,"США, Китай","фантастика, боевик, триллер, драма",Райан Джонсон,7.0
В диких условиях,2007,США,"драма, приключения, биография",Шон Пенн,7.9
Как приручить дракона 3,2019,"США, Япония","мультфильм, фэнтези, боевик, драма, мелодрама, комедия, приключения, семейный",Дин ДеБлуа,7.7
Стальной гигант,1999,США,"мультфильм, фантастика, боевик, комедия, приключения, семейный",Брэд Бёрд,8.1
Я — начало,2014,США,"фантастика, драма, мелодрама, детектив",Майк Кэхилл,7.6
Война миров,2005,США,"фантастика, боевик, приключения",Стивен Спилберг,7.1
